     4.426928613, 102973257, , ldst_spec, 100267056, 100.00, , 
     4.527355994, 1634, , cache-misses, 100342073, 100.00, 0.002, of all cache refs
     4.527355994, 97266422, , cache-references, 100342814, 100.00, , 
     4.527355994, 103025144, , ldst_spec, 100342647, 100.00, , 
     4.627677618, 1548, , cache-misses, 100227332, 100.00, 0.002, of all cache refs
     4.627677618, 97073167, , cache-references, 100227314, 100.00, , 
     4.627677618, 102934687, , ldst_spec, 100227500, 100.00, , 
     4.728103481, 1513, , cache-misses, 100358832, 100.00, 0.002, of all cache refs
     4.728103481, 97227993, , cache-references, 100358053, 100.00, , 
     4.728103481, 103036372, , ldst_spec, 100357961, 100.00, , 
     4.828393384, 1453, , cache-misses, 100215776, 100.00, 0.001, of all cache refs
     4.828393384, 97095867, , cache-references, 100215443, 100.00, , 
     4.828393384, 102877261, , ldst_spec, 100215035, 100.00, , 
     4.928880709, 1535, , cache-misses, 100421573, 100.00, 0.002, of all cache refs
     4.928880709, 97553346, , cache-references, 100421684, 100.00, , 
     4.928880709, 104371375, , ldst_spec, 100422110, 100.00, , 
     5.029056725, 1435, , cache-misses, 100110686, 100.00, 0.001, of all cache refs
     5.029056725, 97042305, , cache-references, 100110705, 100.00, , 
     5.029056725, 104382075, , ldst_spec, 100110297, 100.00, , 
     5.129230982, 2018, , cache-misses, 99737611, 100.00, 0.002, of all cache refs
     5.129230982, 96579713, , cache-references, 99739666, 100.00, , 
     5.129230982, 104071488, , ldst_spec, 99740648, 100.00, , 
     5.229416072, 1505, , cache-misses, 100117444, 100.00, 0.002, of all cache refs
     5.229416072, 97064018, , cache-references, 100115926, 100.00, , 
     5.229416072, 104362380, , ldst_spec, 100115259, 100.00, , 
     5.329584773, 1561, , cache-misses, 100101222, 100.00, 0.002, of all cache refs
     5.329584773, 97254674, , cache-references, 100101000, 100.00, , 
     5.329584773, 104096025, , ldst_spec, 100100926, 100.00, , 
     5.429749253, 1481, , cache-misses, 100090128, 100.00, 0.002, of all cache refs
     5.429749253, 97203599, , cache-references, 100089757, 100.00, , 
     5.429749253, 104201462, , ldst_spec, 100089905, 100.00, , 
     5.529915306, 1613, , cache-misses, 100063519, 100.00, 0.002, of all cache refs
     5.529915306, 97324337, , cache-references, 100058649, 100.00, , 
     5.529915306, 104072859, , ldst_spec, 100054464, 100.00, , 
     5.630078193, 1316, , cache-misses, 99985407, 100.00, 0.001, of all cache refs
     5.630078193, 97462759, , cache-references, 99985407, 100.00, , 
     5.630078193, 103838323, , ldst_spec, 99985407, 100.00, , 
     5.730239580, 1181, , cache-misses, 99979574, 100.00, 0.001, of all cache refs
     5.730239580, 97492004, , cache-references, 99979574, 100.00, , 
     5.730239580, 103857035, , ldst_spec, 99979574, 100.00, , 
